kod_origin,kod_dest,gmina_dest,no,gmina_origin
0201043,0262011,M. Legnica,5,Nowogrodziec
0201043,0264029,Wrocław-Fabryczna,3,Nowogrodziec
0201043,0201011,Bolesławiec,31,Nowogrodziec
0201043,0201022,Bolesławiec,5,Nowogrodziec
0201043,0201043,Nowogrodziec,19,Nowogrodziec
0201043,0201052,Osiecznica,7,Nowogrodziec
0201043,0210033,Leśna,3,Nowogrodziec
0201043,0212033,Lwówek Śląski,4,Nowogrodziec
0201043,0225043,Pieńsk,3,Nowogrodziec
0201052,0201011,Bolesławiec,20,Osiecznica
0201052,0201022,Bolesławiec,6,Osiecznica
0201052,0201043,Nowogrodziec,3,Osiecznica
0201052,0201043,Nowogrodziec,8,Osiecznica
0201052,0203011,Głogów,3,Osiecznica
0201052,0222033,Wołów,5,Osiecznica
0201052,0226062,Złotoryja,4,Osiecznica
0201052,0810021,Żagań,9,Osiecznica
0201062,0201011,Bolesławiec,33,Warta Bolesławiecka
0201062,0201022,Bolesławiec,11,Warta Bolesławiecka
0201062,0201032,Gromadka,8,Warta Bolesławiecka
0201062,0226032,Pielgrzymka,3,Warta Bolesławiecka
0201062,0264029,Wrocław-Fabryczna,3,Warta Bolesławiecka
0201062,0264039,Wrocław-Krzyki,8,Warta Bolesławiecka
0202011,0202021,Dzierżoniów,35,Bielawa
0202011,0202033,Pieszyce,20,Bielawa
0202011,0202033,Pieszyce,4,Bielawa
0202011,0202041,Piława Górna,7,Bielawa
0202011,0202052,Dzierżoniów,22,Bielawa
0202011,0202062,Łagiewniki,5,Bielawa
0202011,0202073,Niemcza,3,Bielawa
0202011,0214011,Oleśnica,4,Bielawa
0202011,0223012,Czernica,5,Bielawa
0202011,0223052,Kobierzyce,3,Bielawa
0202011,0223083,Siechnice,4,Bielawa
0202011,0224053,Ząbkowice Śląskie,7,Bielawa
0202011,0264029,Wrocław-Fabryczna,12,Bielawa
0202011,0264039,Wrocław-Krzyki,16,Bielawa
0202011,0264049,Wrocław-Psie Pole,7,Bielawa
0202011,0264069,Wrocław-Śródmieście,3,Bielawa
0202011,1465138,Ursynów,5,Bielawa
0202011,3020063,Pleszew,4,Bielawa
0202021,0202011,Bielawa,60,Dzierżoniów
0202021,0202033,Pieszyce,12,Dzierżoniów
0202021,0202033,Pieszyce,8,Dzierżoniów
0202021,0202041,Piława Górna,12,Dzierżoniów
0202021,0202052,Dzierżoniów,62,Dzierżoniów
0202021,0202062,Łagiewniki,10,Dzierżoniów
0202021,0202073,Niemcza,4,Dzierżoniów
0202021,0202073,Niemcza,4,Dzierżoniów
0202021,0215033,Jelcz-Laskowice,4,Dzierżoniów
0202021,0219011,Świdnica,9,Dzierżoniów
0202021,0223012,Czernica,6,Dzierżoniów
0202021,0223043,Kąty Wrocławskie,3,Dzierżoniów
0202021,0224042,Stoszowice,5,Dzierżoniów
0202021,0264029,Wrocław-Fabryczna,15,Dzierżoniów
0202021,0264039,Wrocław-Krzyki,16,Dzierżoniów
0202021,0264049,Wrocław-Psie Pole,8,Dzierżoniów
0202021,1606023,Namysłów,4,Dzierżoniów
0202021,1661011,M. Opole,5,Dzierżoniów
0202021,3019011,Piła,3,Dzierżoniów
0202033,0202011,Bielawa,14,Pieszyce
0202033,0202021,Dzierżoniów,11,Pieszyce
0202033,0202033,Pieszyce,4,Pieszyce
0202033,0202052,Dzierżoniów,4,Pieszyce
0202033,0208112,Nowa Ruda,6,Pieszyce
0202033,1602033,Głubczyce,3,Pieszyce
0202033,1603011,Kędzierzyn-Koźle,3,Pieszyce
0202033,0202021,Dzierżoniów,5,Pieszyce
0202033,0202033,Pieszyce,6,Pieszyce
0202033,0205042,Mściwojów,3,Pieszyce
0202033,0219072,Świdnica,6,Pieszyce
0202041,0202021,Dzierżoniów,13,Piława Górna
0202041,0202052,Dzierżoniów,6,Piława Górna
0202041,0224042,Stoszowice,4,Piława Górna
0202041,0224053,Ząbkowice Śląskie,3,Piława Górna
0202041,0264029,Wrocław-Fabryczna,3,Piława Górna
0202041,2815092,Ostróda,3,Piława Górna
0202052,0202011,Bielawa,10,Dzierżoniów
0202052,0202021,Dzierżoniów,25,Dzierżoniów
0202052,0202041,Piława Górna,8,Dzierżoniów
0202052,0202062,Łagiewniki,5,Dzierżoniów
0202052,0202073,Niemcza,3,Dzierżoniów
0202052,0219011,Świdnica,6,Dzierżoniów
0202052,0219072,Świdnica,9,Dzierżoniów
0202052,0223052,Kobierzyce,4,Dzierżoniów
0202052,0223073,Sobótka,3,Dzierżoniów
0202052,0224042,Stoszowice,3,Dzierżoniów
0202052,0264029,Wrocław-Fabryczna,5,Dzierżoniów
0202052,0265011,M. Wałbrzych,4,Dzierżoniów
0202062,0202021,Dzierżoniów,7,Łagiewniki
0202062,0202073,Niemcza,3,Łagiewniki
0202062,0217022,Kondratowice,5,Łagiewniki
0202062,0217053,Wiązów,4,Łagiewniki
0202062,0223032,Jordanów Śląski,8,Łagiewniki
0202062,0223073,Sobótka,4,Łagiewniki
0202062,0224053,Ząbkowice Śląskie,5,Łagiewniki
0202062,0264029,Wrocław-Fabryczna,9,Łagiewniki
0202062,0264059,Wrocław-Stare Miasto,3,Łagiewniki
0202073,0202073,Niemcza,4,Niemcza
0202073,0223043,Kąty Wrocławskie,4,Niemcza
0202073,0224073,Złoty Stok,4,Niemcza
0202073,0264029,Wrocław-Fabryczna,3,Niemcza
0202073,0264039,Wrocław-Krzyki,3,Niemcza
0202073,0202011,Bielawa,5,Niemcza
0202073,0202021,Dzierżoniów,6,Niemcza
0202073,0202041,Piława Górna,3,Niemcza
0202073,0202062,Łagiewniki,3,Niemcza
0202073,0202073,Niemcza,18,Niemcza
0202073,0217022,Kondratowice,3,Niemcza
0202073,0224033,Kamieniec Ząbkowicki,4,Niemcza
0203011,0203022,Głogów,159,Głogów
0203011,0203032,Jerzmanowa,151,Głogów
0203011,0203042,Kotla,58,Głogów
0203011,0203052,Pęcław,30,Głogów
0203011,0203062,Żukowice,21,Głogów
0203011,0204032,Niechlów,4,Głogów
0203011,0206062,Jeżów Sudecki,9,Głogów
0203011,0209052,Legnickie Pole,4,Głogów
0203011,0211011,Lubin,19,Głogów
0203011,0211022,Lubin,6,Głogów
0203011,0216013,Chocianów,3,Głogów
0203011,0216022,Gaworzyce,23,Głogów
0203011,0216032,Grębocice,40,Głogów
0203011,0216043,Polkowice,16,Głogów
0203011,0216043,Polkowice,9,Głogów
0203011,0216053,Przemków,11,Głogów
0203011,0216062,Radwanice,50,Głogów
0203011,0220063,Żmigród,4,Głogów
0203011,0223052,Kobierzyce,7,Głogów
0203011,0262011,M. Legnica,9,Głogów
0203011,0264029,Wrocław-Fabryczna,23,Głogów
0203011,0264039,Wrocław-Krzyki,33,Głogów
0203011,0264049,Wrocław-Psie Pole,18,Głogów
0203011,0264059,Wrocław-Stare Miasto,5,Głogów
0203011,0614011,Puławy,3,Głogów
0203011,0619011,Włodawa,3,Głogów
0203011,0804011,Nowa Sól,8,Głogów
0203011,0804052,Nowa Sól,5,Głogów
0203011,0804063,Nowe Miasteczko,3,Głogów
0203011,0810053,Małomice,3,Głogów
0203011,0810062,Niegosławice,6,Głogów
0203011,0812013,Sława,5,Głogów
0203011,0812013,Sława,11,Głogów
0203011,0812023,Szlichtyngowa,8,Głogów
0203011,0812033,Wschowa,5,Głogów
0203011,0812033,Wschowa,3,Głogów
0203011,0862011,M. Zielona Góra,25,Głogów
0203011,1021043,Jeżów,3,Głogów
0203011,1261011,M. Kraków,4,Głogów
0203011,1418063,Tarczyn,3,Głogów
0203011,1465038,Białołęka,3,Głogów
0203011,1661011,M. Opole,4,Głogów
0203011,1811032,Czermin,3,Głogów
0203011,2212102,Ustka,4,Głogów
0203011,3009011,Koło,3,Głogów
0203011,3021072,Komorniki,3,Głogów
0203011,3021152,Suchy Las,3,Głogów
0203011,3063011,M. Leszno,6,Głogów
0203011,3064029,Poznań-Grunwald,3,Głogów
0203011,3064059,Poznań-Stare Miasto,3,Głogów
0203011,3208011,Kołobrzeg,3,Głogów
0203011,3211012,Dobra (Szczecińska),3,Głogów
0203022,0203011,Głogów,41,Głogów
0203022,0203032,Jerzmanowa,8,Głogów
0203022,0203042,Kotla,4,Głogów
0203022,0203052,Pęcław,9,Głogów
0203022,0211011,Lubin,3,Głogów
0203022,0216032,Grębocice,9,Głogów
0203022,0217022,Kondratowice,3,Głogów
0203022,0812033,Wschowa,4,Głogów
0203022,3261011,M. Koszalin,4,Głogów
0203032,0203011,Głogów,25,Jerzmanowa
0203032,0203042,Kotla,3,Jerzmanowa
0203032,0216032,Grębocice,3,Jerzmanowa
0203032,0216043,Polkowice,7,Jerzmanowa
0203032,0216062,Radwanice,6,Jerzmanowa
0203032,0264029,Wrocław-Fabryczna,3,Jerzmanowa
0203042,0203011,Głogów,37,Kotla
0203042,0203032,Jerzmanowa,6,Kotla
0203042,0216043,Polkowice,6,Kotla
0203052,0203011,Głogów,17,Pęcław
0203062,0203011,Głogów,14,Żukowice
0203062,0216022,Gaworzyce,5,Żukowice
0203062,0804023,Bytom Odrzański,9,Żukowice
0203062,0804023,Bytom Odrzański,5,Żukowice
0203062,0804063,Nowe Miasteczko,4,Żukowice
0203062,0810062,Niegosławice,4,Żukowice
0203062,0812013,Sława,4,Żukowice
0204013,0204013,Góra,28,Góra
0204013,0204032,Niechlów,9,Góra
0204013,0204043,Wąsosz,4,Góra
0204013,0204043,Wąsosz,12,Góra
0204013,0211011,Lubin,4,Góra
0204013,0264029,Wrocław-Fabryczna,7,Góra
0204013,0264039,Wrocław-Krzyki,6,Góra
0204013,0264049,Wrocław-Psie Pole,3,Góra
0204013,0264059,Wrocław-Stare Miasto,3,Góra
0204013,0812023,Szlichtyngowa,3,Góra
0204013,3013022,Lipno,3,Góra
0204013,3022013,Bojanowo,4,Góra
0204013,3022053,Rawicz,3,Góra
0204013,3063011,M. Leszno,11,Góra
0204013,3064049,Poznań-Nowe Miasto,3,Góra
0204013,3064059,Poznań-Stare Miasto,4,Góra
0204013,0203011,Głogów,3,Góra
0204013,0204013,Góra,21,Góra
0204013,0204032,Niechlów,4,Góra
0204013,0204043,Wąsosz,5,Góra
0204013,1434123,Wołomin,3,Góra
0204013,3013043,Rydzyna,3,Góra
0204013,3013072,Włoszakowice,3,Góra
0204013,3022013,Bojanowo,3,Góra
0204013,3022023,Jutrosin,4,Góra
0204013,3022053,Rawicz,3,Góra
0204013,3063011,M. Leszno,4,Góra
0204022,0204013,Góra,3,Jemielno
0204022,0204013,Góra,4,Jemielno
0204022,0211011,Lubin,3,Jemielno
0204022,0211043,Ścinawa,5,Jemielno
0204022,0222022,Wińsko,3,Jemielno
0204032,0203011,Głogów,8,Niechlów
0204032,0204013,Góra,12,Niechlów
0204032,0211032,Rudna,3,Niechlów
0204032,0222022,Wińsko,6,Niechlów
0204032,0812023,Szlichtyngowa,6,Niechlów
0204032,3022053,Rawicz,3,Niechlów
0204032,3063011,M. Leszno,3,Niechlów
0204043,0201011,Bolesławiec,3,Wąsosz
0204043,0204043,Wąsosz,6,Wąsosz
0204043,0264049,Wrocław-Psie Pole,4,Wąsosz
0204043,3022053,Rawicz,7,Wąsosz
0204043,0203011,Głogów,3,Wąsosz
0204043,0204013,Góra,4,Wąsosz
0204043,0204032,Niechlów,3,Wąsosz
0204043,0204043,Wąsosz,14,Wąsosz
0204043,0264029,Wrocław-Fabryczna,4,Wąsosz
0204043,3022053,Rawicz,3,Wąsosz
0205011,0205023,Bolków,6,Jawor
0205011,0205032,Męcinka,54,Jawor
0205011,0205042,Mściwojów,20,Jawor
0205011,0205052,Paszowice,53,Jawor
0205011,0209042,Kunice,3,Jawor
0205011,0209052,Legnickie Pole,4,Jawor
0205011,0211011,Lubin,5,Jawor
0205011,0218012,Kostomłoty,3,Jawor
0205011,0219011,Świdnica,4,Jawor
0205011,0219032,Dobromierz,3,Jawor
0205011,0219063,Strzegom,3,Jawor
0205011,0226062,Złotoryja,3,Jawor
0205011,0262011,M. Legnica,15,Jawor
0205011,0264029,Wrocław-Fabryczna,14,Jawor
0205011,0264039,Wrocław-Krzyki,11,Jawor
0205011,0264049,Wrocław-Psie Pole,8,Jawor
0205011,0801062,Santok,3,Jawor
0205011,0809092,Zabór,3,Jawor
0205011,1430023,Jastrząb,3,Jawor
0205011,2477011,M. Tychy,3,Jawor
0205023,0205023,Bolków,5,Bolków
0205023,0205052,Paszowice,3,Bolków
0205023,0207022,Kamienna Góra,3,Bolków
0205023,0261011,M. Jelenia Góra,6,Bolków
0205023,0264039,Wrocław-Krzyki,4,Bolków
0205023,0462011,M. Grudziądz,4,Bolków
0205023,1261011,M. Kraków,4,Bolków
0205023,0205023,Bolków,26,Bolków
0205023,0205052,Paszowice,5,Bolków
0205023,0207042,Marciszów,5,Bolków
0205023,0261011,M. Jelenia Góra,5,Bolków
0205023,0265011,M. Wałbrzych,3,Bolków
0205032,0205011,Jawor,17,Męcinka
0205032,0205052,Paszowice,6,Męcinka
0205032,0262011,M. Legnica,4,Męcinka
0205032,0264049,Wrocław-Psie Pole,4,Męcinka
0205042,0205011,Jawor,14,Mściwojów
0205042,0205052,Paszowice,5,Mściwojów
0205042,0218052,Udanin,8,Mściwojów
0205052,0205011,Jawor,8,Paszowice
0205052,0219032,Dobromierz,7,Paszowice
0205052,0226043,Świerzawa,3,Paszowice
0205052,0262011,M. Legnica,4,Paszowice
0205062,0205011,Jawor,4,Wądroże Wielkie
0205062,0209082,Ruja,4,Wądroże Wielkie
0205062,0214053,Międzybórz,4,Wądroże Wielkie
0205062,0217012,Borów,3,Wądroże Wielkie
0205062,0262011,M. Legnica,7,Wądroże Wielkie
0205062,0264029,Wrocław-Fabryczna,5,Wądroże Wielkie
0205062,0264039,Wrocław-Krzyki,4,Wądroże Wielkie
0206011,0202011,Bielawa,3,Karpacz
0206011,0206021,Kowary,10,Karpacz
0206011,0206072,Mysłakowice,6,Karpacz
0206011,0206082,Podgórzyn,4,Karpacz
0206011,0206092,Stara Kamienica,3,Karpacz
0206011,0223052,Kobierzyce,3,Karpacz
0206011,0261011,M. Jelenia Góra,17,Karpacz
0206011,0264039,Wrocław-Krzyki,4,Karpacz
0206011,0264069,Wrocław-Śródmieście,3,Karpacz
0206011,1012053,Kamieńsk,4,Karpacz
0206011,1012113,Przedbórz,3,Karpacz
0206011,1015072,Nowy Kawęczyn,4,Karpacz
0206021,0206011,Karpacz,3,Kowary
0206021,0206041,Szklarska Poręba,3,Kowary
0206021,0206072,Mysłakowice,14,Kowary
0206021,0226062,Złotoryja,4,Kowary
0206021,0261011,M. Jelenia Góra,16,Kowary
0206021,0264039,Wrocław-Krzyki,5,Kowary
0206021,0862011,M. Zielona Góra,3,Kowary
0206031,0206082,Podgórzyn,4,Piechowice
0206031,0206092,Stara Kamienica,7,Piechowice
0206031,0261011,M. Jelenia Góra,23,Piechowice
0206031,1465028,Bemowo,3,Piechowice
0206041,0206031,Piechowice,6,Szklarska Poręba
0206041,0219011,Świdnica,3,Szklarska Poręba
0206041,0221011,Boguszów-Gorce,3,Szklarska Poręba
0206041,0261011,M. Jelenia Góra,27,Szklarska Poręba
0206041,0264039,Wrocław-Krzyki,4,Szklarska Poręba
0206041,2404102,Mstów,3,Szklarska Poręba
0206041,2416021,Zawiercie,4,Szklarska Poręba
0206052,0203011,Głogów,3,Janowice Wielkie
0206052,0206072,Mysłakowice,4,Janowice Wielkie
0206052,0225021,Zgorzelec,4,Janowice Wielkie
0206052,0261011,M. Jelenia Góra,30,Janowice Wielkie
0206062,0206072,Mysłakowice,3,Jeżów Sudecki
0206062,0206082,Podgórzyn,6,Jeżów Sudecki
0206062,0261011,M. Jelenia Góra,28,Jeżów Sudecki
0206062,0264039,Wrocław-Krzyki,3,Jeżów Sudecki
0206072,0206021,Kowary,5,Mysłakowice
0206072,0206052,Janowice Wielkie,8,Mysłakowice
0206072,0206082,Podgórzyn,5,Mysłakowice
0206072,0206092,Stara Kamienica,5,Mysłakowice
0206072,0261011,M. Jelenia Góra,39,Mysłakowice
0206072,0264039,Wrocław-Krzyki,3,Mysłakowice
0206072,0801022,Bogdaniec,4,Mysłakowice
0206072,1261011,M. Kraków,4,Mysłakowice
0206082,0206021,Kowary,9,Podgórzyn
0206082,0206062,Jeżów Sudecki,5,Podgórzyn
0206082,0206072,Mysłakowice,6,Podgórzyn
0206082,0261011,M. Jelenia Góra,36,Podgórzyn
0206082,0264039,Wrocław-Krzyki,3,Podgórzyn
0206082,0264049,Wrocław-Psie Pole,8,Podgórzyn
0206082,0264069,Wrocław-Śródmieście,4,Podgórzyn
0206082,1005082,Łyszkowice,3,Podgórzyn
0206092,0206031,Piechowice,3,Stara Kamienica
0206092,0206082,Podgórzyn,4,Stara Kamienica
0206092,0212043,Mirsk,4,Stara Kamienica
0206092,0261011,M. Jelenia Góra,29,Stara Kamienica
0206092,0264029,Wrocław-Fabryczna,3,Stara Kamienica
0206092,0264039,Wrocław-Krzyki,4,Stara Kamienica
0206092,0264049,Wrocław-Psie Pole,3,Stara Kamienica
0207011,0207022,Kamienna Góra,60,Kamienna Góra
0207011,0207033,Lubawka,8,Kamienna Góra
0207011,0219011,Świdnica,4,Kamienna Góra
0207011,0221011,Boguszów-Gorce,5,Kamienna Góra
0207011,0223083,Siechnice,5,Kamienna Góra
0207011,0223083,Siechnice,3,Kamienna Góra
0207011,0225021,Zgorzelec,3,Kamienna Góra
0207011,0261011,M. Jelenia Góra,8,Kamienna Góra
0207011,0264029,Wrocław-Fabryczna,9,Kamienna Góra
0207011,0264039,Wrocław-Krzyki,11,Kamienna Góra
0207011,0265011,M. Wałbrzych,7,Kamienna Góra
0207011,0805053,Słubice,3,Kamienna Góra
0207011,0809063,Sulechów,4,Kamienna Góra
0207011,1465038,Białołęka,3,Kamienna Góra
0207022,0207011,Kamienna Góra,18,Kamienna Góra
0207022,0207033,Lubawka,10,Kamienna Góra
0207022,0207042,Marciszów,3,Kamienna Góra
0207022,0221063,Mieroszów,3,Kamienna Góra
0207022,0264039,Wrocław-Krzyki,3,Kamienna Góra
0207022,0264049,Wrocław-Psie Pole,3,Kamienna Góra
0207033,0207011,Kamienna Góra,3,Lubawka
0207033,0207022,Kamienna Góra,9,Lubawka
0207033,0207033,Lubawka,23,Lubawka
0207033,0223092,Żórawina,4,Lubawka
0207033,0264039,Wrocław-Krzyki,4,Lubawka
0207033,0264069,Wrocław-Śródmieście,3,Lubawka
0207033,0265011,M. Wałbrzych,7,Lubawka
0207033,0207011,Kamienna Góra,16,Lubawka
0207033,0207022,Kamienna Góra,7,Lubawka
0207033,0207033,Lubawka,8,Lubawka
0207033,0261011,M. Jelenia Góra,4,Lubawka
0207033,0265011,M. Wałbrzych,3,Lubawka
0207033,1217022,Biały Dunajec,3,Lubawka
0207042,0206052,Janowice Wielkie,3,Marciszów
0207042,0207011,Kamienna Góra,3,Marciszów
0207042,0207022,Kamienna Góra,3,Marciszów
0207042,0207033,Lubawka,3,Marciszów
0207042,0207033,Lubawka,7,Marciszów
0207042,0226011,Wojcieszów,3,Marciszów
0207042,0261011,M. Jelenia Góra,8,Marciszów
0207042,0264039,Wrocław-Krzyki,3,Marciszów
0207042,1216133,Wojnicz,3,Marciszów
0207042,3209033,Bobolice,6,Marciszów
0208011,0208031,Kudowa-Zdrój,4,Duszniki-Zdrój
0208011,0208051,Polanica-Zdrój,3,Duszniki-Zdrój
0208011,0208072,Kłodzko,6,Duszniki-Zdrój
0208011,0208143,Szczytna,10,Duszniki-Zdrój
0208011,0208143,Szczytna,6,Duszniki-Zdrój
0208011,0264029,Wrocław-Fabryczna,4,Duszniki-Zdrój
0208021,0208041,Nowa Ruda,6,Kłodzko
0208021,0208051,Polanica-Zdrój,7,Kłodzko
0208021,0208072,Kłodzko,91,Kłodzko
0208021,0208083,Lądek-Zdrój,3,Kłodzko
0208021,0208083,Lądek-Zdrój,8,Kłodzko
0208021,0208103,Międzylesie,7,Kłodzko
0208021,0208123,Radków,4,Kłodzko
0208021,0208123,Radków,5,Kłodzko
0208021,0208143,Szczytna,3,Kłodzko
0208021,0221042,Czarny Bór,4,Kłodzko
0208021,0223022,Długołęka,3,Kłodzko
0208021,0224063,Ziębice,3,Kłodzko
0208021,0262011,M. Legnica,4,Kłodzko
0208021,0264029,Wrocław-Fabryczna,13,Kłodzko
0208021,0264039,Wrocław-Krzyki,12,Kłodzko
0208021,0264049,Wrocław-Psie Pole,15,Kłodzko
0208021,0264069,Wrocław-Śródmieście,4,Kłodzko
0208021,1218062,Spytkowice,3,Kłodzko
0208021,1465058,Mokotów,3,Kłodzko
0208021,1661011,M. Opole,4,Kłodzko
0208021,3064049,Poznań-Nowe Miasto,3,Kłodzko
0208031,0208072,Kłodzko,6,Kudowa-Zdrój
0208031,0208092,Lewin Kłodzki,9,Kudowa-Zdrój
0208031,0214073,Syców,4,Kudowa-Zdrój
0208031,0216032,Grębocice,3,Kudowa-Zdrój
0208031,0223022,Długołęka,3,Kudowa-Zdrój
0208031,0264029,Wrocław-Fabryczna,3,Kudowa-Zdrój
0208031,0264039,Wrocław-Krzyki,3,Kudowa-Zdrój
0208031,0264049,Wrocław-Psie Pole,5,Kudowa-Zdrój
0208041,0208021,Kłodzko,14,Nowa Ruda
0208041,0208072,Kłodzko,3,Nowa Ruda
0208041,0208112,Nowa Ruda,37,Nowa Ruda
0208041,0208123,Radków,5,Nowa Ruda
0208041,0211011,Lubin,3,Nowa Ruda
0208041,0218033,Miękinia,3,Nowa Ruda
0208041,0223012,Czernica,3,Nowa Ruda
0208041,0223022,Długołęka,3,Nowa Ruda
0208041,0262011,M. Legnica,3,Nowa Ruda
0208041,0264029,Wrocław-Fabryczna,11,Nowa Ruda
0208041,0264039,Wrocław-Krzyki,3,Nowa Ruda
0208041,0264049,Wrocław-Psie Pole,9,Nowa Ruda
0208041,0264059,Wrocław-Stare Miasto,3,Nowa Ruda
0208041,0264069,Wrocław-Śródmieście,3,Nowa Ruda
0208041,0265011,M. Wałbrzych,4,Nowa Ruda
0208041,1207021,Mszana Dolna,5,Nowa Ruda
0208041,1601062,Olszanka,4,Nowa Ruda
0208051,0208021,Kłodzko,11,Polanica-Zdrój
0208051,0208063,Bystrzyca Kłodzka,4,Polanica-Zdrój
0208051,0208072,Kłodzko,17,Polanica-Zdrój
0208051,0223052,Kobierzyce,4,Polanica-Zdrój
0208051,0264029,Wrocław-Fabryczna,7,Polanica-Zdrój
0208051,0264049,Wrocław-Psie Pole,4,Polanica-Zdrój
0208063,0208021,Kłodzko,11,Bystrzyca Kłodzka
0208063,0208063,Bystrzyca Kłodzka,36,Bystrzyca Kłodzka
0208063,0208072,Kłodzko,10,Bystrzyca Kłodzka
0208063,0208103,Międzylesie,8,Bystrzyca Kłodzka
0208063,0223052,Kobierzyce,4,Bystrzyca Kłodzka
0208063,0264039,Wrocław-Krzyki,8,Bystrzyca Kłodzka
0208063,1432053,Łomianki,3,Bystrzyca Kłodzka
0208063,0208021,Kłodzko,8,Bystrzyca Kłodzka
0208063,0208051,Polanica-Zdrój,6,Bystrzyca Kłodzka
0208063,0208063,Bystrzyca Kłodzka,32,Bystrzyca Kłodzka
0208063,0208072,Kłodzko,8,Bystrzyca Kłodzka
0208063,0208103,Międzylesie,4,Bystrzyca Kłodzka
0208063,0208103,Międzylesie,3,Bystrzyca Kłodzka
0208063,0208143,Szczytna,3,Bystrzyca Kłodzka
0208063,0219063,Strzegom,6,Bystrzyca Kłodzka
0208063,0264029,Wrocław-Fabryczna,6,Bystrzyca Kłodzka
0208063,0264039,Wrocław-Krzyki,3,Bystrzyca Kłodzka
0208063,0264049,Wrocław-Psie Pole,3,Bystrzyca Kłodzka
0208072,0208021,Kłodzko,39,Kłodzko
0208072,0208041,Nowa Ruda,8,Kłodzko
0208072,0208051,Polanica-Zdrój,7,Kłodzko
0208072,0208063,Bystrzyca Kłodzka,9,Kłodzko
0208072,0208123,Radków,7,Kłodzko
0208072,0208143,Szczytna,3,Kłodzko
0208072,0218033,Miękinia,3,Kłodzko
0208072,0224013,Bardo,3,Kłodzko
0208072,0264029,Wrocław-Fabryczna,4,Kłodzko
0208072,0264039,Wrocław-Krzyki,5,Kłodzko
0208072,0264049,Wrocław-Psie Pole,10,Kłodzko
0208072,1607053,Nysa,4,Kłodzko
0208072,1609073,Niemodlin,3,Kłodzko
0208072,2475011,M. Sosnowiec,3,Kłodzko
0208083,0208072,Kłodzko,10,Lądek-Zdrój
0208083,0208083,Lądek-Zdrój,6,Lądek-Zdrój
0208083,0264039,Wrocław-Krzyki,8,Lądek-Zdrój
0208083,3263011,M. Świnoujście,3,Lądek-Zdrój
0208083,0208072,Kłodzko,8,Lądek-Zdrój
0208083,0208083,Lądek-Zdrój,9,Lądek-Zdrój
0208083,0208133,Stronie Śląskie,4,Lądek-Zdrój
0208083,0264039,Wrocław-Krzyki,3,Lądek-Zdrój
0208092,0208031,Kudowa-Zdrój,4,Lewin Kłodzki
